Date,Close,High,Low,Open,Volume
,INFY,INFY,INFY,INFY,INFY
2022-01-03,22.99847984313965,23.253412150722095,22.898327555056493,23.116840217305334,4526700
2022-01-04,22.861909866333008,23.098632353526895,22.74354775444392,22.989375153058837,8180900
2022-01-05,22.12442970275879,22.68892210662481,22.07890687805637,22.61608454515027,8881400
2022-01-06,21.951440811157227,22.29741878190336,21.823973780600745,22.03338328202054,11523300
2022-01-07,22.03338050842285,22.188160518726885,21.823971033363865,22.05158859342367,6596500
2022-01-10,22.552349090576172,22.561454001700955,22.2427890586704,22.452196804787764,10032000
2022-01-11,22.77996826171875,22.816386172195987,22.45219838450185,22.652501233587536,9883900
2022-01-12,23.44460678100586,24.02730713170067,23.226094149495307,23.808794500190118,15578800
2022-01-13,23.308040618896484,23.47192555490952,23.189678504405148,23.4355059084247,20147500
2022-01-14,23.854324340820312,23.93626681288282,23.289831948454637,23.417297244292133,11294700
2022-01-18,23.226097106933594,23.462819588691843,23.14415464261019,23.408190121420077,6915000
2022-01-19,22.279205322265625,22.807277972439074,22.260997237944135,22.743545335853604,13756100
2022-01-20,21.559938430786133,22.197266641667117,21.54172860678212,22.151743818241474,19417500
2022-01-21,21.314109802246094,21.641879669308143,21.268586981413833,21.34142453669603,13813600
2022-01-24,20.886192321777344,20.913505323487296,20.003034886018522,20.831562845188344,18128000
2022-01-25,20.467370986938477,20.804245746559364,20.4127432576917,20.631255911263004,9588100
2022-01-26,20.385427474975586,20.795139764687708,20.185124653663053,20.685882575236437,11662800
2022-01-27,19.85735511779785,20.37632286811053,19.77541265863436,20.267067413615305,17086900
2022-01-28,20.631256103515625,20.667675747742322,20.07586868514805,20.166916059130568,15420200
2022-01-31,21.45978546142578,21.496205108290095,20.95902747313192,21.004550295127963,5686800
2022-02-01,21.41425895690918,21.514409495394876,21.159326682451674,21.405154046758835,10309700
2022-02-02,21.641878128051758,21.714715678146728,21.48709811702692,21.605458484712184,9033400
2022-02-03,20.722305297851562,21.177540471170136,20.694990562282076,21.013655530921948,12135000
2022-02-04,20.840665817260742,21.132016052266554,20.63125805292336,20.913503376012194,18253100
2022-02-07,20.458267211914062,20.858874633997328,20.403639479634077,20.649466879770465,15889900
2022-02-08,20.840665817260742,20.913503376012194,20.367222553668487,20.449163287752537,21190900
2022-02-09,21.314109802246094,21.359632623078355,21.031864492600608,21.095597136399494,7472800
2022-02-10,20.886192321777344,21.186647496678656,20.822459669008055,20.98634288902142,10600800
2022-02-11,20.276172637939453,20.731407757408675,20.221543173262546,20.685883203511256,7761500
2022-02-14,20.20333480834961,20.267067446338753,19.930192698502243,20.03034497910469,6502900
2022-02-15,20.840665817260742,20.895295288762618,20.622153141006383,20.740515259342732,9976200
2022-02-16,20.795143127441406,20.8042480394167,20.476478154643786,20.50379289056966,6605000
2022-02-17,20.42184829711914,20.713198503713503,20.36722056752875,20.622151130006714,8470200
2022-02-18,20.494688034057617,20.713200712302772,20.31259326722779,20.51289785805748,8932700
2022-02-22,20.986339569091797,21.232166965100042,20.58573389032014,20.60394197638484,17268300
2022-02-23,20.685884475708008,21.159329445853405,20.631256744255623,20.96813151747792,8420000
2022-02-24,20.248857498168945,20.257962408765227,19.15629427537703,19.493167284518822,21155100
2022-02-25,20.795143127441406,20.82245786336728,20.248860565014684,20.248860565014684,8269300
2022-02-28,20.44916343688965,20.74051541060469,20.294385142925336,20.585735380055986,6965700
2022-03-01,20.1760196685791,20.485579678198608,20.066764216115807,20.3854273996205,6930300
2022-03-02,20.567523956298828,20.740513797358744,20.185126365662537,20.221544274179,8749500
2022-03-03,20.5037899017334,20.886187466031593,20.421847442484918,20.804245006783113,7023600
2022-03-04,20.44916343688965,20.53110590815569,20.16691811174238,20.285280230941954,13424500
2022-03-07,20.55841827392578,20.55841827392578,20.203335430433356,20.285277892252253,14195100
2022-03-08,21.241270065307617,21.496202350903783,20.521999497844043,20.649464772350065,20426800
2022-03-09,21.76024055480957,21.987858137467796,21.432472416659078,21.6236703525315,10599200
2022-03-10,21.705612182617188,21.787554648890076,21.43247178609708,21.43247178609708,7789000
2022-03-11,21.860393524169922,22.11532584981587,21.805765788883075,22.02427846661486,7892800
2022-03-14,22.479511260986328,22.798176200087696,22.24278878441343,22.27010178086678,13945300
2022-03-15,22.024276733398438,22.133532195374194,21.477994213766873,21.996961999612367,9186200
2022-03-16,22.861909866333008,22.871014777754034,22.215475048114257,22.27920769147717,12327300
2022-03-17,22.29741859436035,22.80728150254467,22.270103858774196,22.588768827608533,14814900
2022-03-18,22.79817771911621,22.79817771911621,22.042485683983628,22.206370619960126,29035600
2022-03-21,22.0424861907959,22.361151158456625,21.915020898365352,22.21547604236904,8200800
2022-03-22,22.570560455322266,22.71623557010596,22.379360781803445,22.406675517044523,5367300
2022-03-23,22.13353157043457,22.443091598265895,22.10621857400394,22.169951214454354,9022300
2022-03-24,22.461299896240234,22.47950971701456,22.206367615151944,22.424880254691583,3594400
2022-03-25,22.51593017578125,22.53413999862097,22.315627334297183,22.397569800491638,3365400
2022-03-28,22.50682258605957,22.55234713774147,22.32472958908421,22.51592749639595,2834400
2022-03-29,22.861909866333008,22.871014777754034,22.588767733455004,22.679815111081005,3817200
2022-03-30,22.734445571899414,22.91654034900874,22.597875357359666,22.597875357359666,6945500
2022-03-31,22.66160774230957,22.952957992996243,22.66160774230957,22.73444530498124,7849500
2022-04-01,22.406675338745117,22.880118589732565,22.34294269360744,22.871015414642326,14712000
2022-04-04,22.525035858154297,22.525035858154297,22.342942833277544,22.361150920156177,12357900
2022-04-05,22.197265625,22.34294247377552,22.09711507073375,22.30652282743556,6293000
2022-04-06,21.823972702026367,21.960544637771886,21.614564947540217,21.76934496967874,12373700
2022-04-07,21.687402725219727,21.851287660527174,21.550832524658297,21.623670080730015,8337400
2022-04-08,21.578149795532227,21.760242838821164,21.523520319619475,21.650987360164706,5583400
2022-04-11,20.986339569091797,21.35052907573406,20.904397103755716,21.186644145061894,6641500
2022-04-12,20.549312591552734,21.18664244031064,20.46737013281003,21.07738524979232,11642600
2022-04-13,19.292865753173828,19.939298819543566,19.047038360363825,19.93019390833754,20145500
2022-04-14,18.62822151184082,19.338388971293323,18.591803602850177,19.311074237112127,17199800
2022-04-18,18.719268798828125,18.864943907256027,18.546280692935163,18.70106071271284,11998300
2022-04-19,18.59180450439453,18.628222415151132,17.981789304108243,18.26403462466328,16645300
2022-04-20,18.728374481201172,18.87404959562633,18.628222188814743,18.828526773587598,10019600
2022-04-21,18.82852554321289,19.056143111701278,18.783000987564673,18.983305559248365,21840600
2022-04-22,18.44612693786621,18.764791863431636,18.318661662273694,18.67374449375807,11983400
2022-04-25,18.582698822021484,18.582698822021484,18.236720869550208,18.364186156789476,8778400
2022-04-26,18.318662643432617,18.55538338604502,18.264033176752005,18.437023014738816,13027100
2022-04-27,18.318662643432617,18.500755655948634,18.200300535542187,18.200300535542187,9754100
2022-04-28,18.664640426635742,18.810315530063235,18.528070234245494,18.58269796388475,24229100
2022-04-29,18.091045379638672,18.482546144596014,18.091045379638672,18.427918413580798,12325100
2022-05-02,18.345975875854492,18.409708517882997,18.063730574049295,18.10014848238662,15073900
2022-05-03,18.40970802307129,18.473442399971006,18.327765560784425,18.38239502669847,7716800
2022-05-04,18.764793395996094,18.810316216258766,18.24582560403081,18.300453335662873,7519400
2022-05-05,18.49165153503418,18.928678604233294,18.309558514736825,18.755688758854152,9577100
2022-05-06,18.07283592224121,18.209406120830582,17.94536889851808,18.17298647502846,6615300
2022-05-09,18.045520782470703,18.336870996004897,17.990893051579103,18.245825356713652,14538200
2022-05-10,17.990894317626953,18.318664199210737,17.772381642099223,18.22761681692809,18342600
2022-05-11,17.672225952148438,17.99999577075008,17.644911221736955,17.83611086144926,8503200
2022-05-12,17.78148651123047,17.890741980439444,17.408193807695127,17.444611718569995,13434100
2022-05-13,17.708646774291992,17.763274502175907,17.47192430468281,17.572074849705963,14033500
2022-05-16,17.244306564331055,17.46281921015115,17.207886921735636,17.417294656906876,11057600
2022-05-17,17.854324340820312,17.86342925282345,17.663124661923206,17.681334485929483,7184600
2022-05-18,17.0986328125,17.654018513106774,17.080422989769477,17.590285870134217,10672000
2022-05-19,16.962060928344727,17.144155683015388,16.588768244195723,16.7162352670989,9392800
2022-05-20,17.025794982910156,17.144155355576505,16.743547944902883,17.13505044435844,6019100
2022-05-23,17.19878578186035,17.23520543244065,16.97116817548704,17.107740128578644,7451600
2022-05-24,16.752655029296875,16.907435066913752,16.61608481647833,16.834597504304895,9904800
2022-05-25,16.515928268432617,16.634290362592118,16.297415636812033,16.479510364787867,19046500
2022-05-26,16.79817771911621,16.898328271176194,16.515930675952244,16.58876823044327,9116900
2022-05-27,17.298934936523438,17.335354580476537,17.071317371569183,17.11684018992635,14402900
2022-05-31,17.363378524780273,17.621158197848768,17.188455349489278,17.52909503231992,14970000
2022-06-01,17.5198917388916,17.630368261200875,17.354175199435026,17.418620130114213,11631300
2022-06-02,17.961801528930664,17.971008198551996,17.722433386754084,17.722433386754084,9397700
2022-06-03,17.84211540222168,18.044658608537254,17.80529048215957,17.860528740249016,9036000
2022-06-06,17.88814926147461,18.08148404834125,17.851322584361377,17.971007528986775,3917300
2022-06-07,17.84211540222168,17.851322071235348,17.52909743571978,17.630367282885,11026400
2022-06-08,17.639575958251953,17.777672497179168,17.630369288191105,17.759260913050234,3191500
2022-06-09,17.381792068481445,17.759258464972238,17.381792068481445,17.648780195464013,5958200
2022-06-10,16.875438690185547,17.14242683478178,16.755755499982413,17.14242683478178,8787000
2022-06-13,16.433530807495117,16.60845403232136,16.350672530261253,16.479562403294896,9535700
2022-06-14,16.79258155822754,16.85702649239075,16.571626745671058,16.580833415693338,11567800
2022-06-15,16.83861541748047,16.875440342690297,16.479562299725995,16.626865512550925,16537200
2022-06-16,16.267812728881836,16.378291006840453,16.203367798402915,16.350670998352633,5810400
2022-06-17,16.350669860839844,16.525593057108008,16.129715076287045,16.129715076287045,13242000
2022-06-21,17.280521392822266,17.446237911119848,16.99511994197979,17.050359952073944,14786000
2022-06-22,16.86623191833496,17.01353511584065,16.746548728858823,16.893851926364512,12715900
2022-06-23,16.976709365844727,17.07797921169162,16.838612844422574,16.985916034738544,12097800
2022-06-24,17.188457489013672,17.216077495705708,16.85702443267942,16.912264446063492,6561500
2022-06-27,17.271316528320312,17.289729866941485,17.096393323404413,17.271316528320312,8163800
2022-06-28,16.995119094848633,17.34496545070356,16.976707515060756,17.271313863575003,5168800
2022-06-29,17.13321876525879,17.188457021146743,16.829405723886314,16.91226398571449,5126600
2022-06-30,17.041152954101562,17.09639120713482,16.88464310718034,16.939881360213597,10376700
2022-07-01,17.354175567626953,17.409413829953543,17.03194915140189,17.124014092608007,9066900
2022-07-05,17.188457489013672,17.206870826808363,16.903057777166147,17.041154298641235,10265200
2022-07-06,17.427825927734375,17.51068419331731,17.21607780724135,17.21607780724135,8860200
2022-07-07,17.639575958251953,17.657989298373653,17.400207804648158,17.48306607920304,9675500
2022-07-08,17.547508239746094,17.639573169808305,17.271315205551943,17.538301571140625,15835100
2022-07-11,16.995119094848633,17.114804021427766,16.78337100135306,17.031945766409088,7908800
2022-07-12,16.76495933532715,16.912264280247882,16.672896159241414,16.746547753705517,12463200
2022-07-13,16.672895431518555,16.82019861401741,16.55321049824295,16.60845050867436,8601800
2022-07-14,16.47955894470215,16.525592286833653,16.23098416516937,16.38749401643159,6778800
2022-07-15,16.728134155273438,16.764959073935067,16.52559271265322,16.682102567948274,4846900
2022-07-18,16.976709365844727,17.252902408689035,16.930676021375646,17.105599218373065,7496500
2022-07-19,17.225282669067383,17.28972935232327,17.068774563423645,17.12401282165041,5046400
2022-07-20,17.234487533569336,17.363379130592968,17.133217696755807,17.289727542004773,13431500
2022-07-21,17.685606002807617,17.750052687586223,17.446239626171803,17.58433615299788,15563600
2022-07-22,17.381792068481445,17.54750859474752,17.30814047414014,17.390998737273176,9935200
2022-07-25,17.087186813354492,17.25290335050436,16.80178708603674,17.216078428911413,15146700
2022-07-26,16.488767623901367,16.654484163798696,16.424322693050776,16.654484163798696,13040200
2022-07-27,17.225282669067383,17.298936021359825,16.755754840151035,16.792579760304687,9772700
2022-07-28,17.630367279052734,17.64878061707607,17.280522636572208,17.363380901684646,9660300
2022-07-29,17.94338607788086,18.04465767580389,17.786876224723663,17.83290956741253,7222000
2022-08-01,18.063072204589844,18.063072204589844,17.81449740564768,17.82370407479286,8471600
2022-08-02,17.94338607788086,18.063071012879433,17.897354491184466,17.934179409343084,6613000
2022-08-03,18.504981994628906,18.504981994628906,18.15513558716839,18.191962264161123,7339100
2022-08-04,18.55101203918457,18.661490304964975,18.486567115809528,18.569425376146715,8486500
2022-08-05,18.69831657409668,18.69831657409668,18.431330192822152,18.504981790000564,5790000
2022-08-08,18.66149139404297,18.76276124125991,18.597046466906942,18.698316314123883,9722500
2022-08-09,18.578636169433594,18.652287777641746,18.532602816807966,18.578636169433594,5140100
2022-08-10,18.762760162353516,18.96530335712578,18.698315238923236,18.82720684177626,5828100
2022-08-11,18.55101203918457,18.799586820196133,18.504980452771672,18.67990364192712,7446900
2022-08-12,18.51418685913086,18.541805108190598,18.36688367750413,18.458946849026507,4842800
2022-08-15,18.51418685913086,18.551011776541323,18.43132859996677,18.43132859996677,2987500
2022-08-16,18.55101203918457,18.560218707665644,18.403708855472342,18.45894711036631,7513200
2022-08-17,18.49577522277832,18.578633489559714,18.32085202001842,18.486568553581208,10568900
2022-08-18,18.385297775268555,18.458949376165254,18.311646174371855,18.311646174371855,5370900
2022-08-19,18.21037483215332,18.44974295450028,18.182754825577412,18.44974295450028,2868500
2022-08-22,17.971006393432617,18.06307132440568,17.906561468549224,17.93417971864639,9260400
2022-08-23,17.722429275512695,17.906559113239606,17.722429275512695,17.878939110782888,6669000
2022-08-24,17.722429275512695,17.85131910832617,17.676397694077103,17.713222608027124,5528700
2022-08-25,17.657987594604492,17.67640093294954,17.510684399829294,17.61195424874187,3818500
2022-08-26,17.160837173461914,17.685604999218043,17.142425591991138,17.639573411552334,5710800
2022-08-29,16.930675506591797,17.004327099510377,16.820198995210173,16.91226392535652,5544000
2022-08-30,16.96750259399414,17.289728979352297,16.903057668121015,17.289728979352297,6267500
2022-08-31,16.847816467285156,17.077977904029446,16.847816467285156,17.013532982699832,7419500
2022-09-01,16.958297729492188,16.958297729492188,16.746549591667243,16.87543945712717,4480300
2022-09-02,16.65448570251465,16.97671214253092,16.57162742491067,16.847820512928717,5248800
2022-09-06,16.553211212158203,16.774165995435936,16.507179624139205,16.700514401010025,7158700
2022-09-07,16.96750259399414,16.985915931670043,16.672896215149837,16.70051446567116,4769300
2022-09-08,17.059566497802734,17.059566497802734,16.82940505870876,16.893849980696285,3936900
2022-09-09,17.547508239746094,17.58433491416797,17.262108536946474,17.280521874157415,5513600
2022-09-12,17.713226318359375,17.869736186413185,17.667194727281696,17.704019648945312,3607400
2022-09-13,17.087186813354492,17.400206548861437,17.02274188357235,17.271316689297155,15227800
2022-09-14,16.64527702331543,16.976710093733058,16.544005417133906,16.91226516470577,16757300
2022-09-15,16.3782901763916,16.39670175845728,16.12050871155388,16.29543191112207,21950100
2022-09-16,16.000823974609375,16.074475571790828,15.733837593323832,15.83510919794555,42686600
2022-09-19,16.028444290161133,16.129715896729575,15.917967770261582,16.028444290161133,15219300
2022-09-20,15.669391632080078,15.936377995761063,15.604946708294754,15.890346409055109,18634300
2022-09-21,15.669391632080078,15.917966414674167,15.650978295000709,15.733836555865404,10736000
2022-09-22,15.35637378692627,15.632566852622135,15.282722185674526,15.558915251370392,17899000
2022-09-23,15.291927337646484,15.38399051307962,15.089384137311557,15.264307331421035,18057100
2022-09-26,15.365578651428223,15.586533429225607,15.319545308558467,15.402403569731547,10331500
2022-09-27,15.45764446258545,15.687805922080818,15.356372858489861,15.558914310688458,12443100
2022-09-28,15.752251625061035,15.835109895036819,15.4576452233661,15.522090154237784,8791800
2022-09-29,15.558914184570312,15.558914184570312,15.37478607206208,15.503675926417099,6037800
2022-09-30,15.623360633850098,15.862728783824497,15.623360633850098,15.743045586833667,6245800
2022-10-03,15.69701099395752,15.807489268269485,15.485262870518232,15.531296216478468,9703100
2022-10-04,16.295433044433594,16.30463795811033,15.936379951296745,16.000824882990035,8648900
2022-10-05,16.240190505981445,16.34146210063535,16.019235736184903,16.15733224780869,6090900
2022-10-06,16.092891693115234,16.32305319360942,16.08368502237632,16.258608254429912,10827300
2022-10-07,15.706217765808105,16.000824157908813,15.650979506287374,15.954792567640308,14041700
2022-10-10,16.166540145874023,16.286225086113777,15.954792028209903,16.166540145874023,23349600
2022-10-11,15.770663261413574,15.899554879584741,15.64177339923508,15.678600077567605,12839500
2022-10-12,15.743041038513184,15.93637578302499,15.678596123675916,15.779865951566382,11642700
2022-10-13,16.617656707763672,16.783373239904144,15.568121012197464,15.6509792782677,16478500
2022-10-14,16.396703720092773,16.755756831213937,16.37829213582441,16.50718200566685,13607400
2022-10-17,16.71892738342285,16.921468824793006,16.672895796381788,16.6821024649885,9800800
2022-10-18,16.636070251464844,16.921469973680182,16.47035371727768,16.80178678565201,7630100
2022-10-19,16.415115356445312,16.55321188208374,16.32305042068883,16.43352869479513,6284000
2022-10-20,16.470354080200195,16.783373817008286,16.44273582788884,16.599245696292886,8674600
2022-10-21,16.847816467285156,16.903056476418318,16.442733602929735,16.507178524259352,7393300
2022-10-24,16.976709365844727,17.068774298790345,16.774166162165862,16.838612844422574,9595200
2022-10-25,17.142427444458008,17.197665706824587,17.013535824279053,17.031949163732147,5701200
2022-10-26,17.197664260864258,17.381792371935806,17.077979320474824,17.124012665237128,7555000
2022-10-27,17.226512908935547,17.338191089573595,17.133446575008723,17.198592476229695,7597000
2022-10-28,17.48710060119629,17.50571245036852,17.096223367092854,17.133448840530228,8698000
2022-10-31,17.43126106262207,17.52432741597834,17.31958285866898,17.366115147800592,8585500
2022-11-01,17.598779678344727,17.887283768537575,17.533633765245664,17.859365105833977,5474700
2022-11-02,17.13344955444336,17.57085909234263,17.13344955444336,17.412646829682387,6370600
2022-11-03,16.9287052154541,17.003157941452812,16.826332051545997,16.93801202809057,11328700
2022-11-04,17.058996200561523,17.179981208680676,16.84494484576222,17.0031571025906,10899800
2022-11-07,17.29166030883789,17.36611302741369,16.98454262282612,16.98454262282612,6280400
2022-11-08,17.44056510925293,17.63600459781213,17.3288869230129,17.403339638870506,6187600
2022-11-09,17.19859504699707,17.44987365363167,17.18928823470398,17.22651548387634,10196200
2022-11-10,17.86867332458496,17.952432869473103,17.608087876589277,17.76630015303431,9282800
2022-11-11,18.38053321838379,18.41776046682005,18.017576421594804,18.15717505304496,6249900
2022-11-14,18.194398880004883,18.42706383639928,18.194398880004883,18.25954655887322,5670300
2022-11-15,18.38983917236328,18.669036422235344,18.371225549013722,18.59458370392994,5136400
2022-11-16,18.324695587158203,18.44568060407141,18.25024285942091,18.287468335743032,4740800
2022-11-17,18.129255294799805,18.18509616954279,17.998963470585455,18.0454957577783,4115500
2022-11-18,18.119945526123047,18.31538500565213,18.017574155981798,18.31538500565213,2744300
2022-11-21,17.961734771728516,17.998962018553936,17.905895676583217,17.924509299995925,7430300
2022-11-22,18.026884078979492,18.064109554068338,17.92451091607244,17.943124541163357,4605400
2022-11-23,18.17578887939453,18.194400728726734,17.96173574869139,17.971042560903957,3328100
2022-11-25,18.53874397277832,18.631810311239516,18.4084521639883,18.45498444567252,3161100
2022-11-28,18.26885223388672,18.575969916063144,18.25024038579482,18.520130821601832,4043200
2022-11-29,18.343307495117188,18.510826576823053,18.306082018678694,18.352614308000074,5516500
2022-11-30,18.938928604125977,18.948235415785323,18.39914595353351,18.464291860056125,6994600
2022-12-01,19.08783531188965,19.14367441047224,18.845863517907826,18.98546215191078,5586800
2022-12-02,18.790021896362305,18.88308823156577,18.48290423275576,18.706262372188455,5674600
2022-12-05,18.38053321838379,18.75279682728184,18.23162777482457,18.650425444267945,7650000
2022-12-06,18.06410789489746,18.22232014345263,17.850056551291292,18.138560613329727,11673400
2022-12-07,18.045494079589844,18.082721325956452,17.89658864430902,18.00826860831604,8087400
2022-12-08,18.222318649291992,18.44567678627428,18.13855912603705,18.185093180674617,6872000
2022-12-09,17.207902908325195,17.70115333937104,17.133450180534602,17.608086985859533,12510700
2022-12-12,17.13344955444336,17.24512952959476,17.086917266934517,17.2079022795133,6741000
2022-12-13,17.43126106262207,17.82213832664398,17.338194709265796,17.691846497001023,13184600
2022-12-14,17.421953201293945,17.654618183135927,17.310275004061843,17.449873638148443,7721700
2022-12-15,16.910091400146484,17.086917288066143,16.76118594982245,17.058996850470518,6568600
2022-12-16,16.500598907470703,16.956622026293267,16.46337343608356,16.85425064865902,15368300
2022-12-19,16.64019775390625,16.74257090800107,16.556439998392932,16.621585905510422,10765900
2022-12-20,16.807716369628906,16.947314991908147,16.658810935852014,16.705344993340287,6483900
2022-12-21,16.956623077392578,17.003157138377055,16.770492158733447,16.770492158733447,4228200
2022-12-22,16.686735153198242,16.82633380712425,16.50060243123477,16.78910832778747,7911000
2022-12-23,16.677425384521484,16.705345820396747,16.500599507497242,16.584359040030154,3685100
2022-12-27,16.779800415039062,16.835639517933153,16.602974518265853,16.76118678904334,4943200
2022-12-28,16.714651107788086,16.928704235854322,16.67742563448933,16.798410641576417,5872100
2022-12-29,16.975236892700195,17.10552871473622,16.835638258362604,16.835638258362604,4971600
